store_name,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,Monthly_Avg,YTD_2025
Rocket #6311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73,253.49,346.38,212.96,208.64,834.56
Rocket #6312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.09,40.57,0.0,24.89,74.66
Rocket #6315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.98,274.8,177.71,237.5,712.49
Rocket #6316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.42,52.92,38.67,77.34
Rocket #6317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.41,190.13,129.59,147.04,441.13
Rocket #6318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.72,65.81,100.17,105.23,315.7
Rocket #632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99,0.0,3.0,5.99
Rocket #6321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.07,10.07,10.07
Rocket #6322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.42,59.33,246.04,19.04,89.21,356.83
Rocket #6323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,10.37,69.37,0.0,20.86,83.43
Rocket #6324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.61,56.83,38.38,53.27,159.82
Rocket #6326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.31,24.52,23.63,27.49,82.46
Rocket #6328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.85,326.92,141.65,174.81,524.42
Rocket #6329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.72,60.13,9.99,47.61,142.84
Rocket #633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.17,0.0,8.77,0.0,5.48,21.94
Rocket #6330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,9.34,30.14,0.0,10.04,40.17
Rocket #6332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.57,473.9,403.65,400.37,1201.12
Rocket #6333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.36,16.95,14.65,29.31
Rocket #6334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.47,12.56,3.79,10.27,30.82
Rocket #6335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.54,36.48,10.56,23.86,71.58
Rocket #6336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.19,99.49,39.35,56.34,169.03
Rocket #6338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.6,32.51,44.44,60.85,182.55
Rocket #634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.76,7.38,60.1,398.53,123.19,492.77
